Code,Ranking,Economy,2017_GNI
CHE,1,Switzerland,81130.00
IMN,2,Isle of Man,79910.00
NOR,3,Norway,76160.00
MAC,4,"Macao SAR, China",72050.00
LUX,5,Luxembourg,70790.00
QAT,6,Qatar,60510.00
ISL,7,Iceland,60500.00
USA,8,United States,59160.00
DNK,9,Denmark,55330.00
SGP,10,Singapore,54530.00
IRL,11,Ireland,53370.00
SWE,12,Sweden,52270.00
AUS,13,Australia,51360.00
NLD,14,Netherlands,46910.00
HKG,15,"Hong Kong SAR, China",46310.00
AUT,16,Austria,45360.00
FIN,17,Finland,44760.00
DEU,18,Germany,43700.00
CAN,19,Canada,42790.00
BEL,20,Belgium,42050.00
GBR,21,United Kingdom,40600.00
ARE,22,United Arab Emirates,39130.00
NZL,23,New Zealand,38780.00
JPN,24,Japan,38520.00
FRA,25,France,38160.00
ISR,26,Israel,37440.00
KWT,27,Kuwait,31430.00
ITA,28,Italy,31180.00
BRN,29,Brunei Darussalam,29600.00
BHS,30,"Bahamas, The",29170.00
KOR,31,"Korea, Rep.",28380.00
ESP,32,Spain,27150.00
CYP,33,Cyprus,24070.00
MLT,34,Malta,23940.00
ABW,35,Aruba,23660.00
SVN,36,Slovenia,22030.00
BHR,37,Bahrain,21200.00
SAU,38,Saudi Arabia,20090.00
PRT,39,Portugal,19930.00
PRI,40,Puerto Rico,19820.00
EST,41,Estonia,18670.00
GRC,42,Greece,18340.00
CZE,43,Czech Republic,17960.00
SVK,44,Slovak Republic,16650.00
KNA,45,St. Kitts and Nevis,16240.00
TTO,46,Trinidad and Tobago,15340.00
BRB,47,Barbados,15270.00
URY,48,Uruguay,15250.00
LTU,49,Lithuania,15200.00
LVA,50,Latvia,14790.00
OMN,51,Oman,14540.00
SYC,52,Seychelles,14170.00
ATG,53,Antigua and Barbuda,13810.00
CHL,54,Chile,13610.00
PAN,55,Panama,13280.00
ARG,56,Argentina,13030.00
HUN,57,Hungary,12920.00
POL,58,Poland,12730.00
PLW,59,Palau,12700.00
HRV,60,Croatia,12570.00
CRI,61,Costa Rica,11120.00
TUR,62,Turkey,10940.00
NRU,63,Nauru,10840.00
MUS,64,Mauritius,10130.00
ROU,65,Romania,10000.00
MDV,66,Maldives,9760.00
MYS,67,Malaysia,9650.00
RUS,68,Russian Federation,9220.00
GRD,69,Grenada,9180.00
LCA,70,St. Lucia,8830.00
CHN,71,China,8690.00
BRA,72,Brazil,8610.00
MEX,72,Mexico,8610.00
LBN,74,Lebanon,8400.00
KAZ,75,Kazakhstan,7970.00
BGR,76,Bulgaria,7860.00
MNE,77,Montenegro,7400.00
VCT,78,St. Vincent and the Grenadines,7390.00
CUB,79,Cuba,7150.00
GNQ,80,Equatorial Guinea,7050.00
BWA,81,Botswana,6730.00
GAB,82,Gabon,6650.00
DOM,83,Dominican Republic,6630.00
DMA,84,Dominica,6590.00
TKM,85,Turkmenistan,6380.00
PER,86,Peru,5960.00
THA,87,Thailand,5950.00
ECU,88,Ecuador,5920.00
COL,89,Colombia,5890.00
LBY,90,Libya,5500.00
PRY,91,Paraguay,5470.00
IRN,92,"Iran, Islamic Rep.",5430.00
ZAF,92,South Africa,5430.00
